rank,kpi_name,label,consensus_weight,direction,p_value,effect_size,cv,tier,xgb,rf,perm,mi
98,BYPASSED_DEFENDERS_BY_ACTION_DIAGONAL_PASS,BYPASSED_DEFENDERS_BY_ACTION_DIAGONAL_PASS,0.0025964231661765188,lower,0.01893341062713472,0.2077611240851109,0.4183143857381358,Tier 1 (Reliable),0.0005631551,0.0028135395341820015,0.0,0.016693321746028777
99,BALL_LOSS_REMOVED_TEAMMATES_TO_OPPONENT_PACKING_ZONE_WL,BALL_LOSS_REMOVED_TEAMMATES_TO_OPPONENT_PACKING_ZONE_WL,0.002587828606187031,lower,0.5625493116888375,0.1102079228598902,0.31738963083285415,Tier 1 (Reliable),0.0006097158,0.0006213699581019634,0.0,0.03258458968876887
100,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_TO_PITCH_POSITION_OWN_BOX,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_TO_PITCH_POSITION_OWN_BOX,0.0025821405964733314,higher,0.07124332823129434,0.18311330353063163,0.7738296641067807,Tier 2 (Moderate),0.00056267274,0.003208335117479103,0.0,0.017600730849488988
101,DEFENSIVE_TOUCHES_BY_ACTION_LOOSE_BALL_REGAIN,DEFENSIVE_TOUCHES_BY_ACTION_LOOSE_BALL_REGAIN,0.0025688168764017626,higher,0.5467445231791501,0.12466959462928658,0.2556074198354185,Tier 1 (Reliable),0.002288129,0.0010956548627058785,0.0,0.02256658798772304
102,BYPASSED_OPPONENTS_FROM_PITCH_POSITION_FIRST_THIRD,BYPASSED_OPPONENTS_FROM_PITCH_POSITION_FIRST_THIRD,0.0025627684664758965,higher,0.05386337334863456,0.3462275392231208,0.4478301001649561,Tier 1 (Reliable),0.0015237889,0.001972257595564359,0.0,0.0013599740645411362
103,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_AT_PHASE_SET_PIECE,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_AT_PHASE_SET_PIECE,0.002557864748553398,lower,0.8050278411183674,0.07469545775297272,0.5136185513904162,Tier 2 (Moderate),0.004309479,0.002218484505649281,0.0,0.01554897054093729
104,OFFENSIVE_TOUCHES_IN_LANE_CENTER,OFFENSIVE_TOUCHES_IN_LANE_CENTER,0.002556360802192856,higher,0.015102283402786744,0.29347407893533195,0.3391650782516794,Tier 1 (Reliable),0.0025998338,0.001109248324934974,0.0,0.0046669073937823935
105,BALL_WIN_NUMBER_AT_PHASE_SECOND_BALL,BALL_WIN_NUMBER_AT_PHASE_SECOND_BALL,0.002550541377289929,higher,0.4872983583291106,0.19894829051231555,0.22305384224618638,Tier 1 (Reliable),0.0060254796,0.001059963812513608,0.0,0.0
106,BYPASSED_OPPONENTS_TO_LANE_RIGHT_WING,BYPASSED_OPPONENTS_TO_LANE_RIGHT_WING,0.0025485328061648385,higher,0.276267339878286,0.2537805994228555,0.3382848378109551,Tier 1 (Reliable),0.00055725774,0.0014976818321582367,0.0,0.015443559485402325
107,BALL_WIN_REMOVED_OPPONENTS_FROM_OPPONENT_PACKING_ZONE_IB,BALL_WIN_REMOVED_OPPONENTS_FROM_OPPONENT_PACKING_ZONE_IB,0.0025454806720386757,lower,0.7942204518069067,0.0031444713945710887,0.24290217621170848,Tier 1 (Reliable),0.011244982,0.0003315667080461393,0.0,0.0
108,NEUTRAL_PASSES_AT_PHASE_SET_PIECE,NEUTRAL_PASSES_AT_PHASE_SET_PIECE,0.0025386321531964766,lower,0.1207507918717037,0.19110548425543755,0.34303703860863255,Tier 1 (Reliable),0.0010928821,0.002192141664770188,0.0,0.017019920340253902
109,UNSUCCESSFUL_PASSES_TO_OPPONENT_PACKING_ZONE_GK,UNSUCCESSFUL_PASSES_TO_OPPONENT_PACKING_ZONE_GK,0.002537617401130532,lower,0.8880055734643431,0.0054373866494611955,0.17804518895991675,Tier 1 (Reliable),0.005974479,0.0018323052902298324,0.0,0.016340589205334766
