rank,feature,feature_name,consensus_weight,direction,p_value,p_fdr,significant,effect_size,boruta_fraction,boruta_confirmed,stability_pct,xgb_importance
77,mean_BYPASSED_OPPONENTS_RECEIVING_NUMBER_FROM_PITCH_POSITION_FIRST_THIRD,BYPASSED_OPPONENTS_RECEIVING_NUMBER_FROM_PITCH_POSITION_FIRST_THIRD,0.0032358902482858836,lower,0.2766017224276348,0.6085237893407967,False,-0.1520050612507269,0.0,False,12.0,0.0085647665
78,mean_BYPASSED_OPPONENTS_NUMBER_TO_LANE_RIGHT_WING,BYPASSED_OPPONENTS_NUMBER_TO_LANE_RIGHT_WING,0.003232224013372243,higher,0.04164090259689054,0.22665269656774834,False,0.312987934227906,0.0,False,18.0,0.0012480248
79,mean_UNSUCCESSFUL_PASSES_TO_OPPONENT_PACKING_ZONE_AM,UNSUCCESSFUL_PASSES_TO_OPPONENT_PACKING_ZONE_AM,0.0032271179004152166,lower,0.06222437112898169,0.27306268956032687,False,-0.17020171839465745,0.0,False,18.0,0.006435662
80,mean_OFFENSIVE_TOUCHES,OFFENSIVE_TOUCHES,0.003214979447367596,higher,0.001607476966182789,0.06744273818792866,False,0.3860619916981123,0.02,False,4.0,0.0014305954
81,mean_BYPASSED_OPPONENTS_TO_PACKING_ZONE_WR,BYPASSED_OPPONENTS_TO_PACKING_ZONE_WR,0.0032148319775866276,higher,0.15483838535686215,0.46451515607058647,False,0.2746763548392248,0.0,False,20.0,0.0020831975
82,mean_SUCCESSFUL_PASSES_TO_PACKING_ZONE_CB,SUCCESSFUL_PASSES_TO_PACKING_ZONE_CB,0.0031733484915462506,higher,0.025926052004405523,0.18427440040054385,False,0.2564814118831904,0.0,False,24.0,0.001584761
83,mean_BALL_LOSS_REMOVED_TEAMMATES_FROM_LANE_RIGHT_WING,BALL_LOSS_REMOVED_TEAMMATES_FROM_LANE_RIGHT_WING,0.0031541977612630657,higher,0.26746627756636865,0.5969537209452286,False,0.16055840815107625,0.0,False,24.0,0.004987513
84,mean_BYPASSED_OPPONENTS_AT_PHASE_SECOND_BALL,BYPASSED_OPPONENTS_AT_PHASE_SECOND_BALL,0.003145705771247417,lower,0.013157433846378725,0.15526232557590108,False,-0.27786388165356585,0.06,False,14.000000000000002,0.0019171239
85,mean_BALL_LOSS_REMOVED_TEAMMATES_FROM_PITCH_POSITION_OWN_BOX,BALL_LOSS_REMOVED_TEAMMATES_FROM_PITCH_POSITION_OWN_BOX,0.0031080276948645858,lower,0.35789130081296483,0.6862117485700423,False,-0.130695227926767,0.08,False,28.000000000000004,0.0034152344
86,mean_OFFENSIVE_TOUCHES_AT_PHASE_ATTACKING_TRANSITION,OFFENSIVE_TOUCHES_AT_PHASE_ATTACKING_TRANSITION,0.003062844712024085,higher,0.017261332403487203,0.15636736412570762,False,0.35372614623104076,0.02,False,8.0,0.0008694628
87,mean_SHOT_CREATING_ACTIONS,SHOT_CREATING_ACTIONS,0.003059779993560695,lower,0.015055152672869145,0.15526232557590108,False,-0.21219724652404082,0.0,False,26.0,0.0021346966
88,mean_BYPASSED_OPPONENTS_FROM_PITCH_POSITION_OWN_BOX,BYPASSED_OPPONENTS_FROM_PITCH_POSITION_OWN_BOX,0.003035076610502566,higher,0.09662018548286622,0.34873848197722024,False,0.22433818736013425,0.0,False,22.0,0.0025078224
89,mean_BALL_LOSS_REMOVED_TEAMMATES_BY_ACTION_HEADER,BALL_LOSS_REMOVED_TEAMMATES_BY_ACTION_HEADER,0.003011472643968048,lower,0.7093001435256705,0.8863691299379717,False,-0.12248749963463415,0.0,False,26.0,0.0051579555
90,mean_BYPASSED_OPPONENTS_NUMBER_TO_PACKING_ZONE_CB,BYPASSED_OPPONENTS_NUMBER_TO_PACKING_ZONE_CB,0.002999061040534452,higher,0.09524646886727411,0.3472280381572939,False,0.3534131981396071,0.0,False,8.0,0.00091592956
91,mean_CONCEDED_PACKING_XG,CONCEDED_PACKING_XG,0.0029976147997241884,lower,0.031020242672646695,0.19904655714948297,False,-0.24408747802101607,0.02,False,26.0,0.00027590545
92,mean_BYPASSED_OPPONENTS_FROM_LANE_CENTER,BYPASSED_OPPONENTS_FROM_LANE_CENTER,0.002989188811105045,higher,0.05358813150318759,0.2578928828590903,False,0.3002184294656056,0.0,False,12.0,0.00186108
93,mean_OFFENSIVE_TOUCHES_IN_LANE_RIGHT_WING,OFFENSIVE_TOUCHES_IN_LANE_RIGHT_WING,0.0029863896238228774,higher,0.8878727871907462,0.9570252986370098,False,0.08702560880879362,0.0,False,12.0,0.009631946
94,mean_NUMBER_OF_PRESSES,NUMBER_OF_PRESSES,0.0029835611446956097,higher,0.7423277358015918,0.9001061845066729,False,0.17111153665045173,0.0,False,14.000000000000002,0.0060735457
95,mean_BALL_WIN_ADDED_TEAMMATES_IN_PITCH_POSITION_MIDDLE_THIRD,BALL_WIN_ADDED_TEAMMATES_IN_PITCH_POSITION_MIDDLE_THIRD,0.0029828413226957733,lower,0.6636688397171561,0.8776257770748381,False,-0.07787686031086383,0.0,False,22.0,0.0075830156
96,mean_BALL_WIN_REMOVED_OPPONENTS_FROM_OPPONENT_PACKING_ZONE_DM,BALL_WIN_REMOVED_OPPONENTS_FROM_OPPONENT_PACKING_ZONE_DM,0.002972516163284255,lower,0.048811551078549925,0.2505659622032229,False,-0.10084610999396659,0.0,False,30.0,0.0047986037
97,mean_BALL_WIN_REMOVED_OPPONENTS_FROM_PITCH_POSITION_MIDDLE_THIRD,BALL_WIN_REMOVED_OPPONENTS_FROM_PITCH_POSITION_MIDDLE_THIRD,0.0029587412251393928,lower,0.23871863127719106,0.5684948847941355,False,-0.19440798668630224,0.02,False,26.0,0.0018866855
98,mean_BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS,0.0029585646184544347,higher,0.019513301643512823,0.16283983244240088,False,0.2774356207966719,0.0,False,18.0,0.0011141272
99,mean_EFFECTIVE_PLAYDURATION,EFFECTIVE_PLAYDURATION,0.0029286768421508597,higher,0.02369749490113559,0.17106629131757253,False,0.27483058785171194,0.02,False,14.000000000000002,0.0016297675
100,mean_BYPASSED_OPPONENTS_RECEIVING_AT_PHASE_ATTACKING_TRANSITION,BYPASSED_OPPONENTS_RECEIVING_AT_PHASE_ATTACKING_TRANSITION,0.002918602503480414,lower,0.13829008875628157,0.44062083452001444,False,-0.2220076338314374,0.0,False,26.0,0.0010375697
101,mean_BALL_WIN_ADDED_TEAMMATES_FROM_OPPONENT_PACKING_ZONE_IBWL,BALL_WIN_ADDED_TEAMMATES_FROM_OPPONENT_PACKING_ZONE_IBWL,0.0028925928210138535,higher,0.09073216945345658,0.3370589054874306,False,0.20396617947100873,0.0,False,20.0,0.0029789715
102,mean_BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_CB,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_CB,0.002888769838275512,higher,0.0403767009403473,0.22653966910903053,False,0.19041582669453247,0.02,False,18.0,0.0035578404
103,mean_BALL_WIN_NUMBER_IN_LANE_LEFT_HALF_SPACE,BALL_WIN_NUMBER_IN_LANE_LEFT_HALF_SPACE,0.002884970400141235,higher,0.11104506472369435,0.3916245794072274,False,0.22546764507922204,0.0,False,14.000000000000002,0.0035725501
104,mean_BYPASSED_OPPONENTS_NUMBER_TO_PACKING_ZONE_WR,BYPASSED_OPPONENTS_NUMBER_TO_PACKING_ZONE_WR,0.0028731663980115767,higher,0.3372359417696924,0.6658248081093928,False,0.19919551741317673,0.0,False,16.0,0.0039973035
105,mean_BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_IB,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_IB,0.0028708271882932524,lower,0.2054298727142615,0.5473708417798249,False,-0.14643586887337007,0.0,False,18.0,0.0054388805
106,mean_BALL_WIN_NUMBER_FROM_PITCH_POSITION_OPPONENT_BOX,BALL_WIN_NUMBER_FROM_PITCH_POSITION_OPPONENT_BOX,0.002867537236660416,higher,0.14243975173803694,0.44725505619929606,False,0.3678699323956623,0.0,False,6.0,0.00017253976
