playerId,name,age,status,origin_team,origin_comp,origin_median,predicted_proba,predicted_plays,actual_plays
28572,Miso Dubljanic,26.0,PLAYS,FK Jedinstvo Ub,super_liga_srbije,0.34917809,0.049233764,0,1
83010,Jan Olschowsky,24.0,PLAYS,Borussia Mönchengladbach II,regionalliga_west,0.37057419,0.80669874,1,1
83018,Arne Schulz,22.0,PLAYS,SC Paderborn 07 II,regionalliga_west,0.37057419,0.5514243,1,1
21589,Pelle Boevink,28.0,PLAYS,SC Paderborn 07 II,regionalliga_west,0.37057419,0.91645944,1,1
53929,Matous Trmal,27.0,PLAYS,FK Mlada Boleslav,chance_liga,0.345279435,0.02035415,0,1
53906,Vilem Fendrich,35.0,PLAYS,FK Jablonec,chance_liga,0.345279435,0.57115024,1,1
54674,Dominik Holec,31.0,PLAYS,MFK Karvina,chance_liga,0.345279435,0.33033672,0,1
53859,Ales Mandous,33.0,PLAYS,SK Slavia Prag,chance_liga,0.345279435,0.39576116,0,1
29587,Vojtech Vorel,29.0,PLAYS,AC Sparta Prag,chance_liga,0.345279435,0.9916509,1,1
106592,Antonín Kinský,22.0,PLAYS,FK Pardubice,chance_liga,0.345279435,0.63052166,1,1
29308,Jindrich Stanek,29.0,PLAYS,FC Viktoria Pilsen,chance_liga,0.345279435,0.16831318,0,1
52669,Andrija Katic,24.0,PLAYS,FK Vozdovac,super_liga_srbije,0.34917809,0.42003188,0,1
43562,Romain Matthys,27.0,PLAYS,MVV Maastricht,keuken_kampioen_divisie,0.433012,0.12640622,0,1
10617,Marvin Schwäbe,30.0,PLAYS,Bröndby IF,superligaen,0.6607162449999999,0.50027215,1,1
3360,Kamil Grabara,27.0,PLAYS,FC Kopenhagen,superligaen,0.6607162449999999,0.10085285,0,1
50813,Ouparine Djoco,27.0,PLAYS,Royal Francs Borains,challenger_pro_league,0.34851325,0.078589946,0,1
117414,Robin Risser,21.0,PLAYS,Red Star FC,ligue2,0.61397649,0.01641202,0,1
30228,Maarten Vandevoordt,24.0,PLAYS,KRC Genk,belgian_pro_league,0.67107149,0.10415749,0,1
169620,Louis Lord,22.0,PLAYS,Stuttgarter Kickers,regionalliga_suedwest,0.405667995,0.04089471,0,1
1668,Jean Butez,30.0,PLAYS,Royal Antwerpen FC,belgian_pro_league,0.67107149,0.51976985,1,1
60809,Andrea Hoxha,26.0,PLAYS,Bremer SV,regionalliga_nord,0.26403716,0.63736933,1,1
171996,Jesper Heim,26.0,PLAYS,SC Weiche Flensburg 08,regionalliga_nord,0.26403716,0.79156095,1,1
1159,Michael Zetterer,30.0,PLAYS,PEC Zwolle,eredivisie,0.6917069149999999,0.4191298,0,1
106574,Mio Backhaus,21.0,PLAYS,FC Volendam,eredivisie,0.6917069149999999,0.22961569,0,1
10106,Lennart Grill,27.0,PLAYS,SK Brann,eliteserien,0.5777367099999999,0.63819253,1,1
2227,Marko Johansson,27.0,PLAYS,Halmstads BK,allsvenskan,0.579539565,0.053953305,0,1
47231,Filip Stanković,24.0,PLAYS,FC Volendam,eredivisie,0.6917069149999999,0.34669462,0,1
6446,Arijanet Murić,27.0,PLAYS,Willem II Tilburg,eredivisie,0.6917069149999999,0.89710075,1,1
5911,Maduka Okoye,26.0,PLAYS,Sparta Rotterdam,eredivisie,0.6917069149999999,0.040515576,0,1
3929,Justin Bijlow,28.0,PLAYS,Feyenoord Rotterdam,eredivisie,0.6917069149999999,0.2213063,0,1
63983,Luca Petzold,24.0,PLAYS,SpVgg Bayreuth,regionalliga_bayern,0.28719256,0.9545414,1,1
103305,Jonas Urbig,22.0,PLAYS,SpVgg Greuther Fürth,bundesliga_2,0.710514535,0.057682544,0,1
23064,Patrick Drewes,33.0,PLAYS,Karlsruher SC,bundesliga_2,0.710514535,0.17494944,0,1
1343,Marius Müller,32.0,PLAYS,FC Schalke 04,bundesliga_2,0.710514535,0.16660076,0,1
507,Patrik Carlgren,34.0,PLAYS,Randers FC,superligaen,0.6607162449999999,0.019816844,0,1
7259,Mathew Ryan,33.0,PLAYS,FC Kopenhagen,superligaen,0.6607162449999999,0.04194811,0,1
30344,Krisztián Hegyi,23.0,PLAYS,FC Den Bosch,keuken_kampioen_divisie,0.433012,0.26014414,0,1
51533,Vincent Müller,25.0,PLAYS,MSV Duisburg,bundesliga_3,0.557671055,0.11923411,0,1
